timestamp, power.draw.instant [W], clocks.current.sm [MHz]
2023/08/30 15:31:21.661, 77.68 W, 1755 MHz
2023/08/30 15:31:21.664, 77.68 W, 1755 MHz
2023/08/30 15:31:21.670, 77.68 W, 1755 MHz
2023/08/30 15:31:21.674, 77.68 W, 1755 MHz
2023/08/30 15:31:21.677, 77.68 W, 1755 MHz
2023/08/30 15:31:21.680, 77.68 W, 1755 MHz
2023/08/30 15:31:21.684, 77.68 W, 1755 MHz
2023/08/30 15:31:21.690, 77.68 W, 1755 MHz
2023/08/30 15:31:21.694, 77.68 W, 1755 MHz
2023/08/30 15:31:21.697, 77.68 W, 1755 MHz
2023/08/30 15:31:21.701, 77.68 W, 1755 MHz
2023/08/30 15:31:21.704, 77.68 W, 1755 MHz
2023/08/30 15:31:21.710, 77.68 W, 1755 MHz
2023/08/30 15:31:21.714, 77.68 W, 1755 MHz
2023/08/30 15:31:21.717, 77.68 W, 1755 MHz
2023/08/30 15:31:21.721, 77.09 W, 1755 MHz
2023/08/30 15:31:21.724, 77.09 W, 1755 MHz
2023/08/30 15:31:21.741, 77.09 W, 1755 MHz
2023/08/30 15:31:21.744, 77.09 W, 1755 MHz
2023/08/30 15:31:21.750, 77.09 W, 1755 MHz
2023/08/30 15:31:21.753, 77.09 W, 1755 MHz
2023/08/30 15:31:21.757, 77.09 W, 1755 MHz
2023/08/30 15:31:21.760, 77.09 W, 1755 MHz
2023/08/30 15:31:21.764, 77.09 W, 1755 MHz
2023/08/30 15:31:21.770, 77.09 W, 1755 MHz
2023/08/30 15:31:21.774, 77.09 W, 1755 MHz
2023/08/30 15:31:21.777, 77.09 W, 1755 MHz
2023/08/30 15:31:21.780, 77.09 W, 1755 MHz
2023/08/30 15:31:21.784, 77.09 W, 1755 MHz
2023/08/30 15:31:21.790, 77.09 W, 1755 MHz
2023/08/30 15:31:21.794, 77.09 W, 1755 MHz
2023/08/30 15:31:21.797, 77.09 W, 1755 MHz
2023/08/30 15:31:21.800, 77.09 W, 1755 MHz
2023/08/30 15:31:21.804, 77.09 W, 1755 MHz
2023/08/30 15:31:21.810, 77.09 W, 1755 MHz
2023/08/30 15:31:21.814, 77.09 W, 1755 MHz
2023/08/30 15:31:21.817, 77.09 W, 1755 MHz
2023/08/30 15:31:21.820, 77.18 W, 1755 MHz
2023/08/30 15:31:21.824, 77.18 W, 1755 MHz
2023/08/30 15:31:21.839, 77.18 W, 1755 MHz
2023/08/30 15:31:21.842, 77.18 W, 1755 MHz
2023/08/30 15:31:21.846, 77.18 W, 1755 MHz
2023/08/30 15:31:21.851, 77.18 W, 1755 MHz
2023/08/30 15:31:21.854, 77.18 W, 1755 MHz
2023/08/30 15:31:21.858, 77.18 W, 1755 MHz
2023/08/30 15:31:21.861, 77.18 W, 1755 MHz
